
AP@25 (mean +/- std)
Disease                                    | aNBR             | rNBR             | RWR              | DK               | DK*              | QA0              | QA1              | QA*              | DIAMOND          | GCN             
spinocerebellar ataxias                    | 0.0006 +/- 0.0006 | 0.0003 +/- 0.0003 | 0.008 +/- 0.008  | 0.006 +/- 0.006  | 0.007 +/- 0.007  | 0.01 +/- 0.01    | 0.02 +/- 0.02    | 0.01 +/- 0.01    | 0.0006 +/- 0.0006 | 0.02 +/- 0.02   
spinocerebellar degenerations              | 0.0006 +/- 0.0006 | 0.002 +/- 0.002  | 0.003 +/- 0.003  | 0.003 +/- 0.003  | 0.003 +/- 0.003  | 0.002 +/- 0.002  | 0.002 +/- 0.002  | 0.008 +/- 0.008  | 0.0000 +/- 0.0000 | 0.003 +/- 0.003 
spondylarthropathies                       | 0.0006 +/- 0.0006 | 0.002 +/- 0.002  | 0.02 +/- 0.02    | 0.02 +/- 0.02    | 0.03 +/- 0.02    | 0.01 +/- 0.01    | 0.02 +/- 0.01    | 0.1 +/- 0.1      | 0.003 +/- 0.003  | 0.02 +/- 0.02   
tauopathies                                | 0.005 +/- 0.004  | 0.005 +/- 0.005  | 0.004 +/- 0.003  | 0.004 +/- 0.004  | 0.006 +/- 0.006  | 0.0000 +/- 0.0000 | 0.0003 +/- 0.0003 | 0.00048 +/- 0.00008 | 0.009 +/- 0.005  | 0.006 +/- 0.004 
uveal diseases                             | 0.02 +/- 0.02    | 0.0019 +/- 0.0001 | 0.004 +/- 0.003  | 0.02 +/- 0.02    | 0.03 +/- 0.03    | 0.01 +/- 0.01    | 0.02 +/- 0.02    | 0.03 +/- 0.03    | 0.008 +/- 0.008  | 0.001 +/- 0.001 
varicose veins                             | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
vasculitis                                 | 0.03 +/- 0.03    | 0.0000 +/- 0.0000 | 0.003 +/- 0.002  | 0.042 +/- 0.005  | 0.052 +/- 0.004  | 0.0304 +/- 0.0001 | 0.04 +/- 0.01    | 0.064 +/- 0.009  | 0.01 +/- 0.01    | 0.017 +/- 0.007 


Recall@25 (mean +/- std)
Disease                                    | aNBR             | rNBR             | RWR              | DK               | DK*              | QA0              | QA1              | QA*              | DIAMOND          | GCN             
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
adrenal gland diseases                     | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.0000 +/- 0.0000 | 0.1 +/- 0.1     
alzheimer disease                          | 0.0000 +/- 0.0000 | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.07 +/- 0.07   
amino acid metabolism inborn errors        | 0.04 +/- 0.04    | 0.19 +/- 0.04    | 0.0769 +/- 0.0000 | 0.1538 +/- 0.0000 | 0.19 +/- 0.04    | 0.12 +/- 0.04    | 0.19 +/- 0.04    | 0.19 +/- 0.04    | 0.04 +/- 0.04    | 0.12 +/- 0.04   
amyotrophic lateral sclerosis              | 0.1 +/- 0.1      | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.1 +/- 0.1      | 0.0000 +/- 0.0000
anemia aplastic                            | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.2 +/- 0.2      | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.2 +/- 0.2      | 0.2 +/- 0.2      | 0.1 +/- 0.1      | 0.2 +/- 0.2     
anemia hemolytic                           | 0.1429 +/- 0.0000 | 0.07 +/- 0.07    | 0.1429 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.3 +/- 0.1      | 0.36 +/- 0.07    | 0.3 +/- 0.1      | 0.36 +/- 0.07    | 0.2857 +/- 0.0000
aneurysm                                   | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.1 +/- 0.1      | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
arrhythmias cardiac                        | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.1429 +/- 0.0000 | 0.1429 +/- 0.0000 | 0.1429 +/- 0.0000 | 0.1429 +/- 0.0000 | 0.1429 +/- 0.0000 | 0.1429 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.1429 +/- 0.0000
arterial occlusive diseases                | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.05 +/- 0.05    | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
arteriosclerosis                           | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.17 +/- 0.06    | 0.06 +/- 0.06    | 0.0000 +/- 0.0000
arthritis rheumatoid                       | 0.15 +/- 0.05    | 0.0000 +/- 0.0000 | 0.15 +/- 0.05    | 0.05 +/- 0.05    | 0.05 +/- 0.05    | 0.0000 +/- 0.0000 | 0.1000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.1000 +/- 0.0000 | 0.2 +/- 0.1     
asthma                                     | 0.06 +/- 0.06    | 0.06 +/- 0.06    | 0.17 +/- 0.06    | 0.06 +/- 0.06    | 0.06 +/- 0.06    | 0.06 +/- 0.06    | 0.06 +/- 0.06    | 0.06 +/- 0.06    | 0.1111 +/- 0.0000 | 0.1111 +/- 0.0000
basal ganglia diseases                     | 0.09 +/- 0.09    | 0.0000 +/- 0.0000 | 0.05 +/- 0.05    | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.05 +/- 0.05    | 0.05 +/- 0.05   
behcet syndrome                            | 0.3333 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.3333 +/- 0.0000 | 0.3333 +/- 0.0000 | 0.3333 +/- 0.0000 | 0.3333 +/- 0.0000 | 0.3333 +/- 0.0000 | 0.3333 +/- 0.0000 | 0.2 +/- 0.2     
bile duct diseases                         | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.0000 +/- 0.0000 | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.0000 +/- 0.0000 | 0.07 +/- 0.07   
blood coagulation disorders                | 0.3 +/- 0.1      | 0.25 +/- 0.05    | 0.4000 +/- 0.0000 | 0.3000 +/- 0.0000 | 0.25 +/- 0.05    | 0.35 +/- 0.05    | 0.25 +/- 0.05    | 0.35 +/- 0.05    | 0.45 +/- 0.05    | 0.45 +/- 0.05   
blood platelet disorders                   | 0.08 +/- 0.08    | 0.08 +/- 0.08    | 0.25 +/- 0.08    | 0.08 +/- 0.08    | 0.1667 +/- 0.0000 | 0.3 +/- 0.2      | 0.3 +/- 0.2      | 0.3 +/- 0.2      | 0.2 +/- 0.2      | 0.25 +/- 0.08   
breast neoplasms                           | 0.1000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.15 +/- 0.05    | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.05 +/- 0.05    | 0.05 +/- 0.05    | 0.05 +/- 0.05    | 0.15 +/- 0.05    | 0.15 +/- 0.05   
carbohydrate metabolism inborn errors      | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0526 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.03 +/- 0.03    | 0.03 +/- 0.03    | 0.05 +/- 0.05    | 0.0526 +/- 0.0000 | 0.08 +/- 0.03   
carcinoma renal cell                       | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
cardiomyopathies                           | 0.04 +/- 0.04    | 0.0000 +/- 0.0000 | 0.08 +/- 0.08    | 0.04 +/- 0.04    | 0.04 +/- 0.04    | 0.04 +/- 0.04    | 0.04 +/- 0.04    | 0.0833 +/- 0.0000 | 0.04 +/- 0.04    | 0.08 +/- 0.08   
cardiomyopathy hypertrophic                | 0.0000 +/- 0.0000 | 0.2000 +/- 0.0000 | 0.3 +/- 0.1      | 0.3 +/- 0.1      | 0.3 +/- 0.1      | 0.1 +/- 0.1      | 0.2000 +/- 0.0000 | 0.3 +/- 0.1      | 0.0000 +/- 0.0000 | 0.3 +/- 0.1     
celiac disease                             | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
cerebellar ataxia                          | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.1429 +/- 0.0000 | 0.1429 +/- 0.0000 | 0.1429 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.07 +/- 0.07   
cerebrovascular disorders                  | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
charcot-marie-tooth disease                | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.0000 +/- 0.0000 | 0.07 +/- 0.07   
colitis ulcerative                         | 0.0000 +/- 0.0000 | 0.04 +/- 0.04    | 0.04 +/- 0.04    | 0.04 +/- 0.04    | 0.04 +/- 0.04    | 0.0714 +/- 0.0000 | 0.0714 +/- 0.0000 | 0.0714 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.04 +/- 0.04   
colorectal neoplasms                       | 0.15 +/- 0.05    | 0.0000 +/- 0.0000 | 0.15 +/- 0.05    | 0.05 +/- 0.05    | 0.05 +/- 0.05    | 0.0000 +/- 0.0000 | 0.05 +/- 0.05    | 0.0000 +/- 0.0000 | 0.05 +/- 0.05    | 0.15 +/- 0.05   
coronary artery disease                    | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.06 +/- 0.06    | 0.0000 +/- 0.0000 | 0.06 +/- 0.06    | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
crohn disease                              | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0588 +/- 0.0000 | 0.0588 +/- 0.0000 | 0.0588 +/- 0.0000 | 0.0588 +/- 0.0000 | 0.0588 +/- 0.0000 | 0.0588 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0588 +/- 0.0000
death sudden                               | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
diabetes mellitus type 2                   | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.03 +/- 0.03    | 0.03 +/- 0.03    | 0.03 +/- 0.03    | 0.0000 +/- 0.0000 | 0.03 +/- 0.03    | 0.03 +/- 0.03    | 0.0000 +/- 0.0000 | 0.03 +/- 0.03   
dwarfism                                   | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.08 +/- 0.08    | 0.08 +/- 0.08    | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
esophageal diseases                        | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
exophthalmos                               | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
glomerulonephritis                         | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
gout                                       | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
graves disease                             | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
head and neck neoplasms                    | 0.06 +/- 0.06    | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
hypothalamic diseases                      | 0.2 +/- 0.2      | 0.08 +/- 0.08    | 0.2 +/- 0.2      | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.08 +/- 0.08    | 0.2 +/- 0.2      | 0.2 +/- 0.2      | 0.2 +/- 0.2      | 0.2 +/- 0.2     
leukemia b-cell                            | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
leukemia myeloid                           | 0.0909 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0909 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0909 +/- 0.0000 | 0.0909 +/- 0.0000
lipid metabolism disorders                 | 0.0833 +/- 0.0000 | 0.04 +/- 0.04    | 0.12 +/- 0.04    | 0.0833 +/- 0.0000 | 0.0833 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0833 +/- 0.0000 | 0.04 +/- 0.04    | 0.0833 +/- 0.0000 | 0.1667 +/- 0.0000
liver cirrhosis                            | 0.08 +/- 0.08    | 0.1667 +/- 0.0000 | 0.1667 +/- 0.0000 | 0.1667 +/- 0.0000 | 0.1667 +/- 0.0000 | 0.1667 +/- 0.0000 | 0.1667 +/- 0.0000 | 0.1667 +/- 0.0000 | 0.08 +/- 0.08    | 0.1667 +/- 0.0000
liver cirrhosis biliary                    | 0.08 +/- 0.08    | 0.1667 +/- 0.0000 | 0.1667 +/- 0.0000 | 0.1667 +/- 0.0000 | 0.1667 +/- 0.0000 | 0.1667 +/- 0.0000 | 0.1667 +/- 0.0000 | 0.1667 +/- 0.0000 | 0.08 +/- 0.08    | 0.1667 +/- 0.0000
lung diseases obstructive                  | 0.05 +/- 0.05    | 0.05 +/- 0.05    | 0.1000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.1000 +/- 0.0000 | 0.1000 +/- 0.0000
lupus erythematosus                        | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
lymphoma                                   | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
lysosomal storage diseases                 | 0.05 +/- 0.05    | 0.0000 +/- 0.0000 | 0.0909 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0909 +/- 0.0000 | 0.05 +/- 0.05    | 0.05 +/- 0.05    | 0.18 +/- 0.09   
macular degeneration                       | 0.0000 +/- 0.0000 | 0.1818 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0909 +/- 0.0000 | 0.0909 +/- 0.0000 | 0.0000 +/- 0.0000
metabolic syndrome x                       | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.2 +/- 0.2      | 0.2 +/- 0.2      | 0.2 +/- 0.2      | 0.2 +/- 0.2      | 0.2 +/- 0.2      | 0.2 +/- 0.2      | 0.2 +/- 0.2      | 0.2 +/- 0.2     
motor neuron disease                       | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
multiple sclerosis                         | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
muscular dystrophies                       | 0.0000 +/- 0.0000 | 0.2 +/- 0.2      | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.06 +/- 0.06    | 0.06 +/- 0.06    | 0.06 +/- 0.06    | 0.2 +/- 0.2      | 0.1 +/- 0.1     
mycobacterium infections                   | 0.1 +/- 0.1      | 0.0000 +/- 0.0000 | 0.1 +/- 0.1      | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.1 +/- 0.1      | 0.1 +/- 0.1     
myeloproliferative disorders               | 0.2000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.2000 +/- 0.0000 | 0.2000 +/- 0.0000 | 0.2000 +/- 0.0000 | 0.4000 +/- 0.0000 | 0.0000 +/- 0.0000
nutritional and metabolic diseases         | 0.010 +/- 0.003  | 0.0000 +/- 0.0000 | 0.02 +/- 0.01    | 0.01 +/- 0.01    | 0.01 +/- 0.01    | 0.007 +/- 0.007  | 0.007 +/- 0.007  | 0.02 +/- 0.01    | 0.02 +/- 0.01    | 0.02 +/- 0.01   
peroxisomal disorders                      | 0.5 +/- 0.1      | 0.4 +/- 0.2      | 0.7 +/- 0.3      | 0.3 +/- 0.1      | 0.3 +/- 0.1      | 0.2000 +/- 0.0000 | 0.5 +/- 0.1      | 0.6000 +/- 0.0000 | 0.7 +/- 0.1      | 0.8 +/- 0.2     
psoriasis                                  | 0.04 +/- 0.04    | 0.0000 +/- 0.0000 | 0.04 +/- 0.04    | 0.04 +/- 0.04    | 0.04 +/- 0.04    | 0.04 +/- 0.04    | 0.04 +/- 0.04    | 0.04 +/- 0.04    | 0.04 +/- 0.04    | 0.04 +/- 0.04   
purine-pyrimidine metabolism inborn errors | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
renal tubular transport inborn errors      | 0.06 +/- 0.06    | 0.2 +/- 0.2      | 0.2 +/- 0.2      | 0.2 +/- 0.2      | 0.2 +/- 0.2      | 0.2 +/- 0.1      | 0.2 +/- 0.1      | 0.2 +/- 0.1      | 0.06 +/- 0.06    | 0.2 +/- 0.2     
sarcoma                                    | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.1667 +/- 0.0000 | 0.1667 +/- 0.0000 | 0.1667 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.1667 +/- 0.0000
spastic paraplegia hereditary              | 0.0000 +/- 0.0000 | 0.2000 +/- 0.0000 | 0.2000 +/- 0.0000 | 0.2000 +/- 0.0000 | 0.2000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.2000 +/- 0.0000
spinocerebellar ataxias                    | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.0000 +/- 0.0000 | 0.07 +/- 0.07   
spinocerebellar degenerations              | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.07 +/- 0.07    | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.07 +/- 0.07    | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
spondylarthropathies                       | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.0000 +/- 0.0000 | 0.1 +/- 0.1     
tauopathies                                | 0.06 +/- 0.06    | 0.06 +/- 0.06    | 0.06 +/- 0.06    | 0.06 +/- 0.06    | 0.06 +/- 0.06    | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.06 +/- 0.06    | 0.06 +/- 0.06   
uveal diseases                             | 0.1 +/- 0.1      | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.0000 +/- 0.0000
varicose veins                             | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000
vasculitis                                 | 0.2 +/- 0.2      | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.3333 +/- 0.0000 | 0.3333 +/- 0.0000 | 0.3333 +/- 0.0000 | 0.3333 +/- 0.0000 | 0.3333 +/- 0.0000 | 0.2 +/- 0.2      | 0.2 +/- 0.2     


Recall@300 (mean +/- std)
Disease                                    | aNBR             | rNBR             | RWR              | DK               | DK*              | QA0              | QA1              | QA*              | DIAMOND          | GCN             
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
adrenal gland diseases                     | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.1 +/- 0.1     
alzheimer disease                          | 0.07 +/- 0.07    | 0.21 +/- 0.07    | 0.21 +/- 0.07    | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.07 +/- 0.07    | 0.07 +/- 0.07    | 0.1 +/- 0.1     
amino acid metabolism inborn errors        | 0.3077 +/- 0.0000 | 0.35 +/- 0.04    | 0.4615 +/- 0.0000 | 0.42 +/- 0.04    | 0.42 +/- 0.04    | 0.31 +/- 0.08    | 0.46 +/- 0.08    | 0.46 +/- 0.08    | 0.50 +/- 0.04    | 0.50 +/- 0.04   
amyotrophic lateral sclerosis              | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.1 +/- 0.1      | 0.2000 +/- 0.0000 | 0.2 +/- 0.2      | 0.1 +/- 0.1      | 0.0000 +/- 0.0000
anemia aplastic                            | 0.9 +/- 0.1      | 0.8 +/- 0.2      | 0.9 +/- 0.1      | 0.2 +/- 0.2      | 0.2 +/- 0.2      | 0.6000 +/- 0.0000 | 0.6 +/- 0.2      | 0.6000 +/- 0.0000 | 0.7 +/- 0.1      | 0.9 +/- 0.1     
anemia hemolytic                           | 0.36 +/- 0.07    | 0.2857 +/- 0.0000 | 0.36 +/- 0.07    | 0.36 +/- 0.07    | 0.36 +/- 0.07    | 0.36 +/- 0.07    | 0.36 +/- 0.07    | 0.36 +/- 0.07    | 0.36 +/- 0.07    | 0.36 +/- 0.07   
aneurysm                                   | 0.1 +/- 0.1      | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.0000 +/- 0.0000 | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.1 +/- 0.1      | 0.1 +/- 0.1     
